,Name,OPG
715,Luke Weaver,17.0
716,Jacob Webb,3.0
717,Tyler Webb,3.0
718,Ryan Weber,9.0
719,Allen Webster,3.0
720,J.B. Wendelken,4.0
721,Zack Wheeler,19.0
722,Tyler White,2.0
723,Rowan Wick,3.0
724,Brad Wieck,2.0
725,Aaron Wilkerson,6.0
726,Stevie Wilkerson,4.0
727,Austen Williams,0.0
729,Taylor Williams,4.0
730,Trevor Williams,18.0
731,Alex Wilson,3.0
732,Bryse Wilson,11.0
733,Justin Wilson,3.0
734,Trey Wingenter,3.0
735,Dan Winkler,2.0
736,Matt Wisler,4.0
737,Nick Wittgren,3.0
738,Asher Wojciechowski,15.0
739,Hunter Wood,5.0
740,Brandon Woodruff,18.0
741,Brandon Workman,3.0
742,Matt Wotherspoon,6.0
743,Kyle Wright,12.0
744,Mike Wright,5.0
745,Steven Wright,3.0
746,Jimmy Yacabonis,4.0
747,Jordan Yamamoto,16.0
748,Ryan Yarbrough,14.0
749,Kirby Yates,3.0
750,Gabriel Ynoa,9.0
751,Huascar Ynoa,4.0
752,Alex Young,14.0
753,Daniel Zamora,2.0
754,Kyle Zimmer,3.0
755,Jordan Zimmermann,14.0
